customer_id,age,tenure_months,monthly_data_gb,avg_daily_data_gb,streaming_hours,hotspot_data_gb,monthly_voice_minutes,total_calls,incoming_calls,outgoing_calls,international_minutes,roaming_voice_minutes,monthly_sms,roaming_data_gb,monthly_recharge,city,operator,network_type,account_type,churn
CUST00001,35.46012510728538,57.36164617187416,2.7,0.09,5.01,0.15,85.33,40,25,15,1.71,3.21,89,0.55,382.3,Lucknow,Jio,4G,Individual,1
CUST00002,43.892030514068736,39.24228930037635,28.84,0.961,70.32,2.28,199.93,94,37,57,6.71,7.16,136,0.47,835.65,Noida,Airtel,4G,Individual,0
CUST00003,35.753161358948525,35.657928596918765,33.5,1.117,100.63,5.89,86,29,13,16,6.84,0.85,75,2.21,702.37,Hyderabad,Jio,5G,Individual,1
CUST00004,34.24177308596995,120,37.11,1.237,103.93,4.75,135.25,54,23,31,3.84,8.17,62,2.05,704.39,Delhi,Vi,5G,Individual,0
CUST00005,18,39.3409720837909,2.72,0.091,4.21,0.56,74.33,83,42,41,0.77,5.79,31,0.14,138.5,Kolkata,Airtel,5G,Individual,0
CUST00006,50.499955804173176,42.85103204805155,1.66,0.055,3.51,0.2,94.67,44,20,24,7.3,0.63,38,0.4,168.51,Noida,Airtel,5G,Family,1
CUST00007,22.81944679418445,13.79587190589264,1.53,0.051,3.49,0.43,143.93,61,36,25,2.75,3.5,43,0.42,241.46,Bengaluru,Vi,5G,Family,0
CUST00008,50.25626127461944,22.325947194023787,1.33,0.044,2.03,0.21,318.94,171,91,80,18.72,20.31,80,0.11,605.63,Hyderabad,Vi,5G,Individual,0
CUST00009,38.70501018392101,72.06719017130018,72.83,2.428,178.87,12.84,299.48,128,75,53,28.47,9.61,69,17.91,593.17,Noida,Airtel,5G,Family,0
CUST00010,21.440019349235023,28.263012789395766,43.9,1.463,94.87,11.64,119.17,61,30,31,2.25,9.37,75,11.72,623.31,Pune,Jio,5G,Individual,0
CUST00011,18,21.63226223198449,3.83,0.128,12.84,0.95,193.54,127,54,73,14.55,3.67,42,0.59,194.55,Delhi,Airtel,5G,Individual,1
CUST00012,29.446985488916656,34.84966376221762,11.17,0.372,24.81,1.76,420.07,186,104,82,40.16,18.73,110,0.82,748.27,Pune,Jio,4G,Individual,0
CUST00013,19.1976826579963,61.38919927299131,9.13,0.304,20.42,0.63,329.76,144,86,58,30.17,13.89,69,2.26,690.22,Bengaluru,Vi,5G,Business,0
CUST00014,27.326182253509792,101.06845395312315,0.36,0.012,1.17,0.08,41.74,30,15,15,3.36,1.07,33,0.02,125.95,Hyderabad,Jio,4G,Family,0
CUST00015,33.03353758404998,66.23481121982165,0.43,0.014,0.89,0.1,34.61,18,8,10,1.99,0.67,30,0.1,160.19,Kolkata,Airtel,5G,Individual,0
CUST00016,18,22.93887682487404,4.01,0.134,10.75,0.83,17.15,11,7,4,1.77,0.75,28,0.76,203.8,Bengaluru,Jio,5G,Individual,0
CUST00017,22.89234037980996,15.392853460133598,3.34,0.111,9.33,0.59,237.34,125,72,53,15.24,6.42,86,0.93,373.07,Gurugram,Jio,5G,Family,0
CUST00018,35.02644511464122,35.363443222961514,5.63,0.188,10.56,0.91,109.22,88,47,41,7.39,7.05,121,0.39,305.43,Chennai,Airtel,5G,Individual,0
CUST00019,52.857306167225744,41.11098450034563,4.1,0.137,14.13,0.48,256.1,116,62,54,26.93,7.47,101,0.98,373.04,Chennai,Vi,4G,Individual,0
CUST00020,38.16330984288281,120,18.81,0.627,53.91,1.92,96.67,52,28,24,7.96,1.36,100,2.92,318.02,Noida,Airtel,5G,Individual,0
CUST00021,29.401580778186247,26.926775884536887,19.16,0.639,55.98,2.41,96.5,53,30,23,3.04,6,76,1.33,628.56,Pune,Vi,4G,Individual,0
CUST00022,37.19104076615768,59.22755036526304,1.64,0.055,4.49,0.3,217.06,116,73,43,9.13,11.84,30,0.08,200.83,Pune,Jio,5G,Family,0
CUST00023,32.3885603243088,76.82401552697503,7.51,0.25,20.15,1.91,515.47,208,90,118,38.54,11.95,88,1.12,355.71,Gurugram,Jio,5G,Individual,0
CUST00024,34.48627099455546,26.7182762984518,3.7,0.123,9.39,1.11,82.22,28,12,16,4.66,0.06,90,0.65,266.77,Chennai,Jio,4G,Individual,0
CUST00025,22.092063335340352,120,4.51,0.15,11.54,0.59,58,29,16,13,3.54,4.31,86,0.25,354.62,Hyderabad,Jio,5G,Family,0
CUST00026,52.934495502883856,81.92842996704186,6.83,0.228,20.47,1.83,536.67,407,184,223,58.03,27.19,83,0.03,565.52,Chennai,Jio,5G,Individual,0
CUST00027,28.94160140078656,18.026504225342144,1.82,0.061,4.84,0.37,54.74,45,23,22,5.61,2.22,35,0.26,192.55,Mumbai,Airtel,5G,Family,0
CUST00028,18,45.017647524470505,14.53,0.484,46.35,2.79,83.22,34,18,16,4.46,3.39,108,3.17,429.23,Lucknow,Jio,5G,Individual,0
