customer_id,age,tenure_months,monthly_data_gb,avg_daily_data_gb,streaming_hours,hotspot_data_gb,streaming_data_ratio,hotspot_data_ratio,monthly_voice_minutes,total_calls,incoming_calls,outgoing_calls,avg_minutes_per_call,monthly_sms,international_minutes,roaming_voice_minutes,roaming_data_gb,international_voice_ratio,roaming_voice_ratio,roaming_data_ratio,monthly_recharge,total_usage_events,calls_per_rupee,data_per_rupee,churn
CUST00001,35.46012510728538,57.36164617187416,2.7,0.09,5.01,0.15,1.8556,0.0556,85.33,40,25,15,2.1332,89,1.71,3.21,0.55,0.02,0.0376,0.2037,382.3,129,0.1046,0.007063,1
CUST00002,43.892030514068736,39.24228930037635,28.84,0.961,70.32,2.28,2.4383,0.0791,199.93,94,37,57,2.1269,136,6.71,7.16,0.47,0.0336,0.0358,0.0163,835.65,230,0.1125,0.034512,0
CUST00003,35.753161358948525,35.657928596918765,33.5,1.117,100.63,5.89,3.0039,0.1758,86,29,13,16,2.9655,75,6.84,0.85,2.21,0.0795,0.0099,0.066,702.37,104,0.0413,0.047696,1
CUST00004,34.24177308596995,120,37.11,1.237,103.93,4.75,2.8006,0.128,135.25,54,23,31,2.5046,62,3.84,8.17,2.05,0.0284,0.0604,0.0552,704.39,116,0.0767,0.052684,0
CUST00005,18,39.3409720837909,2.72,0.091,4.21,0.56,1.5478,0.2059,74.33,83,42,41,0.8955,31,0.77,5.79,0.14,0.0104,0.0779,0.0515,138.5,114,0.5993,0.019639,0
CUST00006,50.499955804173176,42.85103204805155,1.66,0.055,3.51,0.2,2.1145,0.1205,94.67,44,20,24,2.1516,38,7.3,0.63,0.4,0.0771,0.0067,0.241,168.51,82,0.2611,0.009851,1
CUST00007,22.81944679418445,13.79587190589264,1.53,0.051,3.49,0.43,2.281,0.281,143.93,61,36,25,2.3595,43,2.75,3.5,0.42,0.0191,0.0243,0.2745,241.46,104,0.2526,0.006336,0
CUST00008,50.25626127461944,22.325947194023787,1.33,0.044,2.03,0.21,1.5263,0.1579,318.94,171,91,80,1.8651,80,18.72,20.31,0.11,0.0587,0.0637,0.0827,605.63,251,0.2824,0.002196,0
CUST00009,38.70501018392101,72.06719017130018,72.83,2.428,178.87,12.84,2.456,0.1763,299.48,128,75,53,2.3397,69,28.47,9.61,17.91,0.0951,0.0321,0.2459,593.17,197,0.2158,0.122781,0
CUST00010,21.440019349235023,28.263012789395766,43.9,1.463,94.87,11.64,2.161,0.2651,119.17,61,30,31,1.9536,75,2.25,9.37,11.72,0.0189,0.0786,0.267,623.31,136,0.0979,0.07043,0
CUST00011,18,21.63226223198449,3.83,0.128,12.84,0.95,3.3525,0.248,193.54,127,54,73,1.5239,42,14.55,3.67,0.59,0.0752,0.019,0.154,194.55,169,0.6528,0.019686,1
CUST00012,29.446985488916656,34.84966376221762,11.17,0.372,24.81,1.76,2.2211,0.1576,420.07,186,104,82,2.2584,110,40.16,18.73,0.82,0.0956,0.0446,0.0734,748.27,296,0.2486,0.014928,0
CUST00013,19.1976826579963,61.38919927299131,9.13,0.304,20.42,0.63,2.2366,0.069,329.76,144,86,58,2.29,69,30.17,13.89,2.26,0.0915,0.0421,0.2475,690.22,213,0.2086,0.013228,0
CUST00014,27.326182253509792,101.06845395312315,0.36,0.012,1.17,0.08,3.25,0.2222,41.74,30,15,15,1.3913,33,3.36,1.07,0.02,0.0805,0.0256,0.0556,125.95,63,0.2382,0.002858,0
CUST00015,33.03353758404998,66.23481121982165,0.43,0.014,0.89,0.1,2.0698,0.2326,34.61,18,8,10,1.9228,30,1.99,0.67,0.1,0.0575,0.0194,0.2326,160.19,48,0.1124,0.002684,0
CUST00016,18,22.93887682487404,4.01,0.134,10.75,0.83,2.6808,0.207,17.15,11,7,4,1.5591,28,1.77,0.75,0.76,0.1032,0.0437,0.1895,203.8,39,0.054,0.019676,0
CUST00017,22.89234037980996,15.392853460133598,3.34,0.111,9.33,0.59,2.7934,0.1766,237.34,125,72,53,1.8987,86,15.24,6.42,0.93,0.0642,0.027,0.2784,373.07,211,0.3351,0.008953,0
CUST00018,35.02644511464122,35.363443222961514,5.63,0.188,10.56,0.91,1.8757,0.1616,109.22,88,47,41,1.2411,121,7.39,7.05,0.39,0.0677,0.0645,0.0693,305.43,209,0.2881,0.018433,0
CUST00019,52.857306167225744,41.11098450034563,4.1,0.137,14.13,0.48,3.4463,0.1171,256.1,116,62,54,2.2078,101,26.93,7.47,0.98,0.1052,0.0292,0.239,373.04,217,0.311,0.010991,0
CUST00020,38.16330984288281,120,18.81,0.627,53.91,1.92,2.866,0.1021,96.67,52,28,24,1.859,100,7.96,1.36,2.92,0.0823,0.0141,0.1552,318.02,152,0.1635,0.059147,0
CUST00021,29.401580778186247,26.926775884536887,19.16,0.639,55.98,2.41,2.9217,0.1258,96.5,53,30,23,1.8208,76,3.04,6,1.33,0.0315,0.0622,0.0694,628.56,129,0.0843,0.030482,0
CUST00022,37.19104076615768,59.22755036526304,1.64,0.055,4.49,0.3,2.7378,0.1829,217.06,116,73,43,1.8712,30,9.13,11.84,0.08,0.0421,0.0545,0.0488,200.83,146,0.5776,0.008166,0
CUST00023,32.3885603243088,76.82401552697503,7.51,0.25,20.15,1.91,2.6831,0.2543,515.47,208,90,118,2.4782,88,38.54,11.95,1.12,0.0748,0.0232,0.1491,355.71,296,0.5847,0.021113,0
CUST00024,34.48627099455546,26.7182762984518,3.7,0.123,9.39,1.11,2.5378,0.3,82.22,28,12,16,2.9364,90,4.66,0.06,0.65,0.0567,0.0007,0.1757,266.77,118,0.105,0.01387,0
CUST00025,22.092063335340352,120,4.51,0.15,11.54,0.59,2.5588,0.1308,58,29,16,13,2,86,3.54,4.31,0.25,0.061,0.0743,0.0554,354.62,115,0.0818,0.012718,0
CUST00026,52.934495502883856,81.92842996704186,6.83,0.228,20.47,1.83,2.9971,0.2679,536.67,407,184,223,1.3186,83,58.03,27.19,0.03,0.1081,0.0507,0.0044,565.52,490,0.7197,0.012077,0
CUST00027,28.94160140078656,18.026504225342144,1.82,0.061,4.84,0.37,2.6593,0.2033,54.74,45,23,22,1.2164,35,5.61,2.22,0.26,0.1025,0.0406,0.1429,192.55,80,0.2337,0.009452,0
CUST00028,18,45.017647524470505,14.53,0.484,46.35,2.79,3.19,0.192,83.22,34,18,16,2.4476,108,4.46,3.39,3.17,0.0536,0.0407,0.2182,429.23,142,0.0792,0.033851,0
CUST00029,41.06411040026555,23.136931269959973,18.38,0.613,34.24,0.98,1.8629,0.0533,217.31,108,49,59,2.0121,72,17.36,6.54,5.07,0.0799,0.0301,0.2758,685.82,180,0.1575,0.0268,0
CUST00030,26.99718728797065,11.736906598168044,2.48,0.083,4.07,0.14,1.6411,0.0565,144.27,84,54,30,1.7175,35,13.58,5.69,0.47,0.0941,0.0394,0.1895,167.3,119,0.5021,0.014824,0
CUST00031,42.1530499839226,32.8219378327293,45.2,1.507,129.17,4.87,2.8577,0.1077,86.14,35,18,17,2.4611,66,3,4.45,12.44,0.0348,0.0517,0.2752,583.58,101,0.06,0.077453,0
CUST00032,37.03713240544196,102.10458676091504,2.57,0.086,7.72,0.18,3.0039,0.07,121.51,51,29,22,2.3825,34,9.12,9.42,0.67,0.0751,0.0775,0.2607,247.25,85,0.2063,0.010394,0
CUST00033,40.95220684020045,47.6618083489166,1.12,0.037,3.12,0.09,2.7857,0.0804,55.08,52,21,31,1.0592,31,3.78,1.56,0.07,0.0686,0.0283,0.0625,165.64,83,0.3139,0.006762,1
CUST00034,18,46.11850384770907,45.28,1.509,98.62,11.54,2.178,0.2549,289.59,226,120,106,1.2814,112,4.7,17.78,11.77,0.0162,0.0614,0.2599,1053.07,338,0.2146,0.042998,0
CUST00035,25.940970596076355,96.26788879725088,9.5,0.317,17.21,2.19,1.8116,0.2305,165.46,114,58,56,1.4514,129,7.39,9.77,2.08,0.0447,0.059,0.2189,965.63,243,0.1181,0.009838,0
