customer_id,monthly_data_gb,streaming_hours,hotspot_data_gb,monthly_voice_minutes,avg_minutes_per_call,monthly_sms,international_minutes,roaming_voice_minutes,roaming_data_gb,monthly_recharge,tenure_months
CUST00001,0.036033,0.024031,0.007331,0.078146,0.47191,0.592593,0.015617,0.060426,0.041095,0.239262,0.441003
CUST00002,0.445553,0.406826,0.163484,0.200486,0.469581,1,0.078588,0.136198,0.035007,0.683917,0.279302
CUST00003,0.518558,0.584479,0.428137,0.078861,0.779688,0.462963,0.080226,0.015154,0.167424,0.553193,0.247315
CUST00004,0.575114,0.603821,0.344562,0.131437,0.609251,0.342593,0.042443,0.155573,0.155248,0.555174,1
CUST00005,0.036346,0.019342,0.037389,0.066403,0.014219,0.055556,0.003778,0.109918,0.009893,0.000137,0.280183
CUST00006,0.01974,0.015239,0.010997,0.088116,0.478715,0.12037,0.086019,0.010934,0.02968,0.029572,0.311507
CUST00007,0.017703,0.015122,0.027858,0.140703,0.555594,0.166667,0.028715,0.065989,0.031202,0.101123,0.052213
CUST00008,0.01457,0.006565,0.01173,0.327533,0.372769,0.509259,0.229846,0.388452,0.00761,0.458309,0.128337
CUST00009,1,1,0.937649,0.306759,0.548272,0.407407,0.35264,0.183196,1,0.446088,0.572238
CUST00010,0.681489,0.550718,0.849676,0.114271,0.405496,0.462963,0.022418,0.178592,0.891152,0.475649,0.181321
CUST00011,0.053736,0.069924,0.06598,0.193664,0.246596,0.157407,0.177328,0.06925,0.044139,0.055112,0.122147
CUST00012,0.168727,0.140083,0.125362,0.435494,0.518208,0.787037,0.499868,0.358143,0.061642,0.598213,0.240102
CUST00013,0.136768,0.114352,0.04252,0.339084,0.529894,0.407407,0.374051,0.265298,0.171229,0.541276,0.476946
CUST00014,0,0.001524,0.002199,0.031611,0.197562,0.074074,0.036398,0.019375,0.000761,0,0.831051
CUST00015,0.00047,0,0.003666,0.024,0.394106,0.046296,0.019143,0.011702,0.006849,0.021411,0.520189
CUST00016,0.056556,0.057674,0.057183,0.005361,0.259613,0.027778,0.016373,0.013236,0.057076,0.064185,0.133807
CUST00017,0.046059,0.049351,0.039588,0.240422,0.385194,0.564815,0.186018,0.122003,0.070014,0.230209,0.066465
CUST00018,0.081935,0.056561,0.063048,0.103649,0.142019,0.888889,0.087153,0.134088,0.028919,0.163866,0.244687
CUST00019,0.057966,0.077485,0.031524,0.260449,0.499497,0.703704,0.333245,0.142145,0.073819,0.230179,0.295979
CUST00020,0.288419,0.310644,0.137092,0.090251,0.370513,0.694444,0.094331,0.024938,0.221456,0.176214,1
CUST00021,0.293902,0.322776,0.173014,0.09007,0.356387,0.472222,0.032367,0.113946,0.100454,0.480799,0.169396
CUST00022,0.019426,0.020983,0.018328,0.218772,0.375025,0.046296,0.109067,0.225974,0.005327,0.061272,0.457655
CUST00023,0.111388,0.11277,0.136359,0.537337,0.599489,0.583333,0.479465,0.228084,0.084473,0.213182,0.614689
CUST00024,0.051699,0.049703,0.07771,0.074825,0.768927,0.601852,0.05277,0,0.048705,0.125947,0.167535
CUST00025,0.064389,0.062305,0.039588,0.04897,0.422654,0.564815,0.038665,0.081527,0.018264,0.212113,1
CUST00026,0.100735,0.114645,0.130494,0.559969,0.170678,0.537037,0.724928,0.52043,0.001522,0.418968,0.660242
CUST00027,0.022246,0.023035,0.02346,0.045489,0.132885,0.092593,0.064735,0.041435,0.019025,0.053151,0.089968
CUST00028,0.221366,0.266333,0.200872,0.075893,0.588173,0.768519,0.050251,0.063879,0.240482,0.285292,0.330843
CUST00029,0.281682,0.195354,0.068179,0.219039,0.427129,0.435185,0.212718,0.124305,0.385075,0.536961,0.135575
CUST00030,0.032586,0.018521,0.006598,0.141066,0.318188,0.092593,0.165111,0.107999,0.035007,0.028385,0.033839
CUST00031,0.701856,0.751758,0.353359,0.07901,0.593165,0.37963,0.031864,0.084213,0.945945,0.436681,0.222006
